zuordnung;Name;Vorname;Titel;Land;Zeit am Institut ;Abteilung;Auswahl 1950–1990;"""Ostblock"" inkl. China & Nordkorea";Förderer;Förderer extern;Herkunftsinstitut (bei letztem Aufenthalt am IEG);Forschungsthema;Beschreibung;Publikation;Betreuer/in oder nur Gutachter/in;Institution Betreuer/in;Ort Institution Betreuer/in;Staat Institution Betreuer/in;Staatsangehörigkeit Betreuer/in;Spalte2
Fellow;Czaplinski;Marek;;Polen;1985;2;1;1;Extern;DAAD;Uniwersytet Wroc?awski, Polen;Die Kolonialpolitik des Kaiserreichs;;"{""weiteres52d3fad00c450"":{""titel"":""Publikationen"",""text"":""- Biurokracja niemieckiego imperium kolonialnego : charakterystyka urze\u031cdnik\u00f3w kolonialnych, Wroc\u0142aw 1985 (Prace Wroc\u0142awskiego Towarzystwa Naukowego : Ser. A, Nr. 234) ""}}";G;Uniwersytet Warszawski;Warschau;Polen;;
Fellow;Czulak;Kazimierz;;Polen;1977, 1978;1;1;1;Institut;;Katolicki Uniwersytet Lubelski Jana Paw?a II, Polen;Geschichtliche Voraussetzungen und Entwicklung des Jesusbildes im Marxismus;Bei Antritt schon promoviert;"{""weiteres14eda11998a33f5a"":{""titel"":""Publikationen"",""text"":""<a href=\""http:\/\/viaf.org\/viaf\/303793354\/\"" target=\""_new\"">VIAF-Link<\/a>""}}";B;;;;;
Fellow;Dahlberg;Robert Carl;;USA;1970, 1971;2;1;;Institut;;University of North Carolina, USA;Die Zentrumspartei in der Weimarer Republik und der Antisemitismus;;"{""weiteres52d3fad43b2ae"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=029105501 | Heinrich Bruening, the Center Party and Germany's \u00bbMiddle Way\u00ab: political economy and foreign policy in the Weimar Republic, Ann Arbor 1984 | _new>>\r\n""}}";B;University of North Carolina;Chapel Hill, North Carolina;USA;;
Fellow;Dascalescu;Stefana;;Rumänien;1974, 1975;2;1;1;Institut;;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die habsburgische Politik gegenüber der Moldau und der Walachei im 16. Jahrhundert;Betreuer nicht eindeutig erkennbar (Arbeit am historischen Forschungsinstitut, Gutachten von dort);;G;"Nationalkomitee Rumänischer Historiker; Abteilung für Universalgeschichte";"Bukarest; Bukarest ";"Rumänien; Rumänien";;
Fellow;Dascalescu;Stefana;;Rumänien;1978;2;1;1;Institut;;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die habsburgische Politik gegenüber der Moldau und der Walachei im 16. Jahrhundert;Betreuer nicht eindeutig erkennbar (Arbeit am historischen Forschungsinstitut, Gutachten von dort);;G;;;;;
Fellow;Dascalescu;Stefana;;Rumänien;1981;2;1;1;Institut;;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die habsburgische Politik gegenüber der Moldau und der Walachei im 16. Jahrhundert;Betreuer nicht eindeutig erkennbar (Arbeit am historischen Forschungsinstitut, Gutachten von dort);;G;;;;;
Fellow;Davis;Wayne Kent;;USA;1971, 1972;2;1;;Institut;;University of Missouri, USA;Harry Graf Kessler in der Weimarer Republik;;"{""weiteres52d3fad451a10"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=293162832 | Time's Passenger: the diaries of Count Harry Kessler, 1887\u20131918, Ann Arbor 1977 | _new>>\r\n""}}";B;University of Missouri;Columbia, Missouri;USA;;
Fellow;De Corte;Bruno;;Belgien;1988, 1989, 1990, 1991;2;1;;Institut;;Katholieke Universiteit Leuven, Belgien;Das Deutsche Reich und die flämische Nationalbewegung 1871–1914;;;B;Katholieke Universiteit;Leuven;Belgien;;
Fellow;Decavele;Johan;;Belgien;1965, 1966;1;1;;Institut;;;Charakter der Reformation in Flandern;Akte im Ordner 1217;"{""weiteres52d3fad3b2460"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050851411 | De dageraad van de reformatie in Vlaanderen 1520\u20131565, Br\u00fcssel 1975 (Verhandelingen van de Koninklijke Academie voor Wetenschappen, Letteren en Schone Kunsten van Belgi\u00eb, Klasse der Letteren 76 = Jg. 37) | _new>>\r\n""}}";G;Katholieke Universiteit;Leuven;Belgien;;
Fellow;Decot;Rolf;;Bundesrepublik Deutschland;1976;1;1;;Institut;;Johannes Gutenberg-Universität Mainz, Deutschland;Der Mainzer Kurfürst Sebastian von Heusenstamm (1545–1555) als Vermittler in den religiösen Auseinandersetzungen des Reiches;"Akte im Ordner 1218; kein Gutachter oder Betreuer vorhanden";"{""weiteres52d3facf670f0"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=035629827 | Religionsfrieden und Kirchenreform. Der Mainzer Kurf\u00fcrst und Erzbischof Sebastian von Heusenstamm 1545\u20131555, Wiesbaden 1980 (IEGV 100) | _new>>\r\n""}}";;;;;;
Fellow;Delureanu;Stefan;;Rumänien;1980;2;1;1;Extern;DAAD;Mitarbeiter Weltliteraturzeitung Secolul 20;Die italienisch-rumänischen Beziehungen in der Ära Mazzini  ;Bei Antritt schon promoviert, kein Gutachten vorhanden;"{""weiteres52d3fad56624d"":{""titel"":""Publikationen"",""text"":""- Progetti d'azione di Mazzini e di Garibaldi nell'area centro-orientale europea (1859-1866), in: Archivio storico sardo 34 (1983) 1, S. 178-188\r\n- Il mazzinianesimo nell'Europa orientale prima del '48: il caso della Romania, in: Archivio trimestrale 12 (1986) gennaio-marzo, S. 50-63\r\n""}}";kein Gutachter;;;;;
Fellow;Delureanu;Stefan;;Rumänien;1983;2;1;1;Extern;DAAD;Universität Bukarest, Rumänien;Die italienisch-rumänischen Beziehungen in der Ära Mazzini  ;Bei Antritt schon promoviert, kein Gutachten vorhanden;"{""weiteres52d3fad56624d"":{""titel"":""Publikationen"",""text"":""- Progetti d'azione di Mazzini e di Garibaldi nell'area centro-orientale europea (1859-1866), in: Archivio storico sardo 34 (1983) 1, S. 178-188\r\n- Il mazzinianesimo nell'Europa orientale prima del '48: il caso della Romania, in: Archivio trimestrale 12 (1986) gennaio-marzo, S. 50-63\r\n""}}";kein Gutachter;;;;;
Fellow;Delureanu;Stefan;;Rumänien;1984;2;1;1;Institut;;Universität Bukarest, Rumänien;Die italienisch-rumänischen Beziehungen in der Ära Mazzini  ;Bei Antritt schon promoviert, kein Gutachten vorhanden;"{""weiteres52d3fad56624d"":{""titel"":""Publikationen"",""text"":""- Progetti d'azione di Mazzini e di Garibaldi nell'area centro-orientale europea (1859-1866), in: Archivio storico sardo 34 (1983) 1, S. 178-188\r\n- Il mazzinianesimo nell'Europa orientale prima del '48: il caso della Romania, in: Archivio trimestrale 12 (1986) gennaio-marzo, S. 50-63\r\n""}}";kein Gutachter;;;;;
Fellow;Delureanu;Stefan;;Rumänien;1987;2;1;1;Institut;;Universität Bukarest, Rumänien;Die italienisch-rumänischen Beziehungen in der Ära Mazzini  ;Bei Antritt schon promoviert, kein Gutachten vorhanden;"{""weiteres52d3fad56624d"":{""titel"":""Publikationen"",""text"":""- Progetti d'azione di Mazzini e di Garibaldi nell'area centro-orientale europea (1859-1866), in: Archivio storico sardo 34 (1983) 1, S. 178-188\r\n- Il mazzinianesimo nell'Europa orientale prima del '48: il caso della Romania, in: Archivio trimestrale 12 (1986) gennaio-marzo, S. 50-63\r\n""}}";kein Gutachter;;;;;
Fellow;Detwiler;Donald S.;;USA;1960, 1961;2;1;;Institut;;Georg-August-Universität Göttingen, Deutschland;Die deutsch-spanischen Beziehungen zu Beginn des Zweiten Weltkrieges;;"{""weiteres52d3fad34b02f"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=033238553 | Hitler, Franco und Gibraltar. Die Frage des spanischen Eintritts in den Zweiten Weltkrieg, Wiesbaden 1962 (IEGV 27) | _new>>\r\n""}}";B;Georg-August-Universität Göttingen;Göttingen;Bundesrepublik Deutschland;;
Fellow;Dibble;Charles L.;;USA;1981, 1982, 1983;2;1;;Institut;;Stanford University, USA;Arme, Bettler und Verbrecher in Wien um 1700;Bei Antritt schon promoviert, Associate Professor;"{""weiteres52d3fad596bea"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=301018650 | Architecture and Ethos: The Culture of Aristocratic Urbanization in Early Modern Vienna, Ann Arbor 1992 | _new>>\r\n""}}";B;Stanford University;Stanford, California;USA;;
Fellow;Diehl;James M.;;USA;1982;2;1;;Extern;National Endowment of the Humanities;Indiana University, USA;Die Kriegsopfer in Nachkriegsdeutschland;kein Gutachten vorhanden;"{""weiteres52d3facfb02d1"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=103251731 | The Thanks of the Fatherland: German veterans after the Second World War, Chapel Hill u.a. 1993 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Dippel;Horst;;Bundesrepublik Deutschland;1970, 1971;2;1;;Institut;;Universität zu Köln, Deutschland;Deutschland und die Amerikanische Revolution 1770–1800;;"{""weiteres52d3fad437314"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=02565649X | Germany and the American Revolution 1770\u20131800. A Sociohistorical Investigation of Late Eighteenth-Century Thinking, Wiesbaden 1978 (IEGV 90) | _new>>\r\n""}}";B;Universität zu Köln;Köln;Bundesrepublik Deutschland;;
Fellow;Dmitrzak;Andrzej;;Polen;1983;2;1;1;Institut;;Adam Mickiewicz University in Pozna?, Polen;Die Städte Großpolens 1815–1870;Dissertation bei Antrag schon geschrieben, kam für Habilschrift an IEG;"{""weiteres14560cf8f66ea8d9"":{""titel"":""Publikationen"",""text"":""<<http:\/\/viaf.org\/viaf\/12999803\/ | VIAF-Link | _new>>""}}";G;"Adama-Mickiewicz-Universität; Albert-Ludwigs-Universität";"Pozna?; Freiburg";"Polen; Bundesrepublik Deutschland";;
Fellow;Doerr;Juergen Carl;;Kanada;1975, 1976;2;1;;Institut;;St. Thomas University, New Brunswick, Kanada;Zentrumspartei und Kulturkampf in Hessen;Bei Antritt schon promoviert;;G;"University of Saskatchewan; University of Oregon";"Saskatoon; Eugene, Oregon";"Kanada; USA";;
Fellow;Dohnalowa;Teresa;;Polen;1979, 1980;2;1;1;Institut;;Adam Mickiewicz University in Pozna?, Polen;Die wirtschaftliche Entwicklung Großpolens und Pommerellens 1815–1918;Bei Antritt bereits promoviert;"{""weiteres14560d0c0bd9b398"":{""titel"":""Publikationen"",""text"":""<<http:\/\/viaf.org\/viaf\/311129650\/ | VIAF-Link | _new>>""}}";G;Uniwersytet im. Adama Mickiewicza;Pozna?;Polen;;
Fellow;Doležal;Ji?í ;;Tschechoslowakei;1988;2;1;1;Extern;DAAD;;Die Presseanweisungen des Reichspropagandaministers über das Protektorat Böhmen und Mähren 1939–1945  ;Schon promoviert, für Forschungsaufenthalt an IEG gekommen;;kein Gutachter;;;;;
Fellow;Domin;Maria;;Polen;1974, 1975;2;1;1;Institut;;Uniwersytet Jagiello?ski, Kraków, Polen;Die Tätigkeit des deutschen Generalkonsulats in Kattowitz zwischen den beiden Weltkriegen;;;B;Uniwersytet Jagiellonski;Kraków;Polen;;
Institut für Geschichte der serbischen Arbeiterbewegung, Belgrad, Serbien;Dotzauer;Winfried;;Bundesrepublik Deutschland;1962, 1963;2;1;;Institut;;Johannes Gutenberg-Universität Mainz, Deutschland;Der Einfluss der französischen Politik auf die rheinischen Territorialkonstitutionen 1635–1735;Betreuer nicht eindeutig erkennbar ;"{""weiteres14560d1d6f4ddd6b"":{""titel"":""Publikationen"",""text"":""<<http:\/\/viaf.org\/viaf\/110031639\/ | VIAF-Link | _new>>""}}";B;Johannes Gutenberg-Universität;Mainz;Bundesrepublik Deutschland;;
Fellow;Dreyfus;François Georges;;Frankreich;1959;2;1;;Institut;;Université de Strasbourg, Frankreich;Die Wirtschafts- und Sozialgeschichte von Mainz im 18. Jahrhundert;;"{""weiteres52d3facee5360"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=050127403 | Soci\u00e9t\u00e9s et mentalit\u00e9s: Mayence dans la seconde moiti\u00e9 du XVIII si\u00e8cle, Paris 1968 | _new>>\r\n""}}";B;Université Paris-Sorbonne;Paris;Frankreich;;
Fellow;Dubovac;Jovan;;Jugoslawien;1978, 1979;2;1;1;Institut;;Institut für Geschichte der serbischen Arbeiterbewegung, Belgrad, Serbien;Der Einfluss der deutschen und der österreichischen Sozialdemokratie auf die serbische Arbeiterbewegung  ;Bei Antritt bereits promoviert;"{""weiteres14eda2b7fb4112c7"":{""titel"":""Publikationen"",""text"":""- Razvoj radni\u010dkog pokreta i sindikata u Jugoslaviji, Beograd 1985""}}";B;Universiteit Utrecht;Utrecht;Niederlande;;
Fellow;Dunk;Hermann von der;;Niederlande;1957, 1958;2;1;;Extern;Niederländisches Ministerium für Unterricht und Wissenschaft;Universiteit Utrecht, Niederlande;Der deutsche Vormärz und Belgien 1830–1848;kein Gutachten vorhanden;"{""weiteres52d3fad32fc69"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=028539931 | Der deutsche Vorm\u00e4rz und Belgien 1830\/48, Wiesbaden 1966 (IEGV 41) | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Dussel;Enrique;;Argentinien;1963, 1964, 1965, 1966;1;1;;Institut;;;Les Evęques hispano-américains;"Akte im Ordner 1218; kein Gutachter oder Betreuer vorhanden";"{""weiteres52d3fad37d915"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=025257811 | Les Ev\u00eaques hispanoam\u00e9ricains. D\u00e9fenseurs et \u00e9vang\u00e9lisateurs de l'Indien 1504\u20131620, Wiesbaden 1970 (IEGV 58) | _new>>\r\n""}}";;;;;;
Fellow;Eckhardt;Thorvi;;Österreich;1962, 1963;2;1;;Institut;;Institut für osteuropäische Geschichte und Südostforschung, Universität Wien, Österreich;Die Entwicklung des slawischen Schriftwesens unter europäischem Einfluss;Bei Antritt bereits promoviert, für Habilitationsvorhaben an IEG gekommen;"{""weiteres1456025758e734ea"":{""titel"":""Publikationen"",""text"":""<<http:\/\/viaf.org\/viaf\/59123713\/ | VIAF-Link | _new>>""}}";G;Professor für Slawische Philologie, Wien;Wien;Österreich;;
Fellow;Edel;Gottfried;;Bundesrepublik Deutschland;1955, 1956, 1957, 1958, 1959, 1960, 1961;1;1;;Institut;;Johannes Gutenberg-Universität Mainz, Deutschland;Das gemeinkatholische mittelalterliche Erbe beim jungen Luther;"Akte im Ordner 1221 vorhanden; kein Gutachter oder Betreuer angegeben";"{""weiteres52d3fad327bf6"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=094615837 | Das gemeinkatholische mittelalterliche Erbe beim jungen Luther, Diss. Univ Mainz 1961 | _new>>\r\n""}}";;;;;;
Fellow;Edelmayer;Friedrich;;Österreich;1987;2;1;;Institut;;Historische Kommission, Bayerische Akademie der Wissenschaften, Arbeitsstelle Wien;Das Reichslehen Finale in Ligurien in der Auseinandersetzung zwischen Maximilian II. und Philipp II.;Bei Antritt bereits promoviert, kein Gutachten vorhanden;"{""weiteres52d3fad01836b"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=008646341 | Maximilian II., Philipp II. und Reichsitalien. Die Auseinandersetzungen um das Reichslehen Finale in Ligurien, Stuttgart 1988 (IEGV 130) | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Eichstädt;Ulrich;;Bundesrepublik Deutschland;1953, 1954, 1955;2;1;;Institut;;Georg-August-Universität Göttingen, Deutschland;Der Anschluss Österreichs 1933–1938;Keine Information zu Betreuer gefunden, kein Gutachten vorhanden;"{""weiteres52d3fad3141af"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=031903371 | Von Dollfu\u00df zu Hitler. Geschichte des Anschlusses \u00d6sterreichs 1933\u20131938, Wiesbaden 1955 (IEGV 10) | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Engammare;Max;;Frankreich;1989, 1990;1;1;;Institut;;Universität Genf, Schweiz;Die Auslegung des Hohen Liedes in der Reformationszeit;;"{""weiteres52d3fad71429a"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=027465772 | Qu'il me baise des baisers de sa bouche. Le cantique des cantiques \u00e0 la Renaissance. \u00c9tude et bibliographie, Genf 1993 (Travaux d'Humanisme et Renaissance 277) | _new>>\r\n""}}";B;Universität Genf;Genf;Schweiz;;
Fellow;Enssle;Manfred J.;;USA;1972;2;1;;Institut;;Colorado State University, USA;Deutschland und Belgien 1919–1929;;"{""weiteres52d3fad40a0b6"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=031852009 | Stresemann's Territorial Revisionism. Germany, Belgium, and the Eupen-Malm\u00e9dy Question 1919\u20131929, Wiesbaden 1980 (IEGV 94) | _new>>\r\n""}}";B;Colorado State University;Fort Collins, Colorado;USA;;
Fellow;Enssle;Manfred J.;;USA;1967, 1968;2;1;;Institut;;Colorado State University, USA;Deutschland und Belgien 1919–1929;;"{""weiteres52d3fad40a0b6"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=031852009 | Stresemann's Territorial Revisionism. Germany, Belgium, and the Eupen-Malm\u00e9dy Question 1919\u20131929, Wiesbaden 1980 (IEGV 94) | _new>>\r\n""}}";B;Colorado State University;Fort Collins, Colorado;USA;;
Fellow;Ernst;Albrecht;;Bundesrepublik Deutschland;1987, 1988, 1989;1;1;;Institut;;Johannes Gutenberg-Universität Mainz, Deutschland;Der Wiederaufbau des reformatorischen Kirchenwesens in der Kurpfalz nach dem Dreißigjährigen Krieg (1649–1685);;"{""weiteres52d3fad6c5045"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=049051717 | Die reformierte Kirche der Kurpfalz nach dem Drei\u00dfigj\u00e4hrigen Krieg 1649\u20131685, Stuttgart 1996 (Ver\u00f6ffentlichungen der Kommission f\u00fcr Geschichtliche Landeskunde in Baden-W\u00fcrttemberg, Reihe B: Forschungen, 133 | _new>>\r\n""}}";B;Johannes Gutenberg-Universität;Mainz;Bundesrepublik Deutschland;;
Fellow;Evans;Richard J.;;Vereinigtes Königreich;1985;2;1;;Extern;Alexander von Humboldt-Stiftung;University of East Anglia, Norwich, UK;Geschichte der Todesstrafe in Deutschland seit dem Ende des 18. Jahrhunderts;Bei Antritt schon promoviert (hatte Professur inne), kein Gutachten vorhanden;"{""weiteres52d3fad00f828"":{""titel"":""Publikationen"",""text"":""- Rituals of retribution: capital punishment in Germany 1600\u20131987, Oxford u.a. 1996\r\n- <<http:\/\/d-nb.info\/961168552\/about\/html | Dt. \u00dcbers.: Rituale der Vergeltung. Die Todesstrafe in der deutschen Geschichte 1532-1987, Berlin 2001 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Fabre;Claudine;;Frankreich;1960, 1961;2;1;;Institut;;Université de Toulouse, Frankreich;;Keine Information zu Betreuer gefunden, kein Gutachten vorhanden;;kein Gutachter;;;;;
Fellow;Falczynski;Zygmunt;;Polen;1981, 1982;1;1;1;Institut;;Katolicki Uniwersytet Lubelski Jana Paw?a II, Polen;Christophanien als Zeichen der Auferstehung Christi;;"{""weiteres14563f8080c3d03c"":{""titel"":""Publikationen"",""text"":""<<http:\/\/viaf.org\/viaf\/75695356\/ | VIAF-Link | _new>>""}}";B;Katholische Universität Lublin;Lublin;Polen;;
Fellow;Färber;Konrad Maria;;Bundesrepublik Deutschland;1982, 1983;2;1;;Institut;;Ludwig-Maximilians-Universität München, Deutschland;Untersuchungen zu Politik und Staat Carl Theodor von Dalbergs 1802–1810;;"{""weiteres52d3fad5b43da"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/d-nb.info\/890898979\/about\/html | Kaiser und Erzkanzler: Carl von Dalberg und Napoleon am Ende des Alten Reiches. Die Biographie des letzten geistlichen F\u00fcrsten in Deutschland, Regensburg 1988 (Studien und Quellen zur Geschichte Regensburgs 5) | _new>>\r\n""}}";B;Ludwig-Maximilians-Universität;München;Bundesrepublik Deutschland;;
Fellow;Fasolt;Constantin;;Bundesrepublik Deutschland;1986;2;1;;Institut;;University of Chicago, USA;Das Denken von Hermann Conring;Bei Antritt bereits promoviert, Jung-Professur, kein Gutachten vorhanden;"{""weiteres52d3fad013196"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=116545704 | The Limits of History, Chicago 2004 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Favrot;Brigitte;;Frankreich;1975, 1976, 1977;2;1;;Institut;;Université Paul Verlaine – Metz, Frankreich;Der katholische Klerus in Elsass-Lothringen 1871–1914;;"{""weiteres52d3fad4eadfc"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030913896 | Le gouvernement allemand et le clerg\u00e9 catholique lorrain de 1890 \u00e0 1914, Wiesbaden 1981 (IEGB 11) | _new>>\r\n""}}";B;Université de Metz (Université de Lorraine);Metz;Frankreich;;
Fellow;Fejes, geb. Schulmann;Judit;;Ungarn;1974;2;1;1;Institut;;Hungarian Academy of Sciences Budapest, Ungarn/ Universität Debrecen, Ungarn;Politische und wirtschaftliche Beziehungen zwischen Ungarn und der Weimarer Republik 1927–1933;;"{""weiteres52d3facf5f3ff"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=112422098 | Magyar-n\u00e9met kapcsolatok 1928\u20131932, Budapest 1981 (Ertekez\u00e9sek a t\u00f6rt\u00e9neti tudom\u00e1nyok k\u00f6r\u00e9bol 93) | _new>>\r\n""}}";B;Ungarische Akademie der Wissenschaften;Budapest;Ungarn;;
Fellow;Felbinger;A. Cameron;;Österreich;1954, 1955;1;1;;Institut;;;Apologie und De praecepto von Bernhard von Clairvaux;"Akte im Ordner 1221 vorhanden; kein Gutachter oder Betreuer angegeben";;;;;;;
Fellow;Feld;Helmut;;Bundesrepublik Deutschland;1965, 1966, 1967;1;1;;Institut;;;Martin Luthers und Wendelin Steinbachs Vorlesungen über den Hebräerbrief;;"{""weiteres52d3fad3c7c15"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=027524698 | Martin Luthers und Wendelin Steinbachs Vorlesungen \u00fcber den Hebr\u00e4erbrief. Eine Studie zur Geschichte der neutestamentlichen Exegese und Theologie, Wiesbaden 1971 (IEGV 62) | _new>>\r\n""}}";B;Eberhard-Karls-Universität;Tübingen;Bundesrepublik Deutschland;;
Fellow;Filipec;Jindrich;;Tschechoslowakei;1964, 1965;2;1;1;Institut;;Akademie v?d ?eské republiky Praha, Tschechien;Die Theorie der Industriegesellschaft;;"{""weiteres52d3fad3835db"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=103349855 | Die Industriegesellschaft in Ost und West. Konvergenzen und Divergenzen, Mainz 1966 (Schriftenreihe des Instituts f\u00fcr Staatsb\u00fcrgerliche Bildung in Rheinland-Pfalz 5) | _new>>\r\n""}}";G;Tschechoslowakische Akademie der Wissenschaften, Historisches Institut;Prag;Tschechoslowakei;;
Fellow;Fischer;Alfons;;Bundesrepublik Deutschland;1987, 1988, 1989, 1990;1;1;;Institut;;Universität Würzburg, Deutschland;Jesus Christus - die neue Dynamik für Welt und Heilsgeschichte. Zur Eschatologie Calvins;;"{""weiteres52d3fad6d27d1"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=018416012 | Calvins Eschatologie in der Erstausgabe der \u00bbChristianae Religionis Institutio\u00ab 1536, Diss. Bamberg 1991 | _new>>\r\n""}}";B;Julius-Maximilians-Universität;Würzburg;Bundesrepublik Deutschland;;
Fellow;Fischer;Jürgen;;USA;1952, 1953;1;1;;Institut;;Georg-August-Universität Göttingen, Deutschland;Oriens – occidens – Europa. Begriff und Gedanke »Europa« in der späten Antike und im frühen Mittelalter;;"{""weiteres52d3fad3122b1"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=060138971 | Oriens \u2013 occidens \u2013 Europa : Begriff und Gedanke Europa in der sp\u00e4ten Antike und im fr\u00fchen Mittelalter, Wiesbaden 1957 (IEGV 15) | _new>>\r\n""}}";B;Julius-Maximilians-Universität;Würzburg;Bundesrepublik Deutschland;;
Fellow;Fischer;Linda Kristine;;Bundesrepublik Deutschland;1986, 1987;1;1;;Institut;;University of Minnesota, USA;Zur Geographie der protestantischen Klostergemeinschaften der Neuzeit;;"{""weiteres52d3fad6a6913"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=27298468X | The geography of Protestant monasticism, Ph.D. Thesis Univ. of Minnesota, Minneapolis 1990 | _new>>\r\n""}}";B;University of Minnesota;Minneapolis, Minnesota;USA;;
Fellow;Flood;Cheryl Anne;;USA;1972, 1973;2;1;;Institut;;University of Wisconsin–Madison, USA;Paul von Wolff-Metternich und die deutsch-britischen Beziehungen 1901–1914;;"{""weiteres52d3fad460546"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=30305316X | The ambassadorship of Paul von Wolff-Metternich: Anglo-German relations, 1901-1912, Ann Arbor 1976 | _new>>\r\n""}}";B;University of Wisconsin–Madison;Madison, Wisconsin;USA;;
Fellow;Flood;Cheryl Anne;;USA;1972, 1973;2;1;;Institut;;University of Wisconsin–Madison, USA;Paul von Wolff-Metternich und die deutsch-britischen Beziehungen 1901–1914;;"{""weiteres52d3fad460546"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=30305316X | The ambassadorship of Paul von Wolff-Metternich: Anglo-German relations, 1901-1912, Ann Arbor 1976 | _new>>\r\n""}}";B;University of Wisconsin–Madison;Madison, Wisconsin;USA;;
Fellow;Flood;David J.;;USA;1967, 1968;1;1;;Institut;;Saint Francis College, Maine, USA;Peter Olivi's Rule Commentary;Forschungsaufenthalt, Flood arbeitete als Priester und hatte Studien schon abgeschlossen ;"{""weiteres52d3fad405676"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=027524736 | Peter Olivi's Rule Commentary. Edition and Presentation, Wiesbaden 1972 (IEGV 67) | _new>>\r\n""}}";B;;;;;
Fellow;Fodor;Stefan;;USA;1990;2;1;;Institut;;University of California, Berkeley, USA;Regionalismus und Nationalismus in Bayern in der Revolution von 1848/49;;"{""weiteres52d3fad05c134"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=05922620X | What Kind of Nation? Political Associations in Bavaria during the Revolution of 1848\u20131849, Ph.D. Thesis Univ. of California, San Diego 1992 | _new>>\r\n""}}";B;University of California;San Diego, California;USA;;
